Date,IN003M
02.02.2024,7.36
01.02.2024,7.36
31.01.2024,7.36
30.01.2024,7.36
29.01.2024,7.37
25.01.2024,7.35
24.01.2024,7.35
23.01.2024,7.37
19.01.2024,7.35
18.01.2024,7.33
17.01.2024,7.3
16.01.2024,7.31
15.01.2024,7.31
12.01.2024,7.3
11.01.2024,7.3
10.01.2024,7.3
09.01.2024,7.3
08.01.2024,7.3
05.01.2024,7.29
04.01.2024,7.29
03.01.2024,7.29
02.01.2024,7.29
01.01.2024,7.28
29.12.2023,7.29
28.12.2023,7.28
27.12.2023,7.27
26.12.2023,7.27
22.12.2023,7.27
21.12.2023,7.27
20.12.2023,7.27
19.12.2023,7.27
18.12.2023,7.26
15.12.2023,7.25
14.12.2023,7.26
13.12.2023,7.25
12.12.2023,7.25
11.12.2023,7.25
08.12.2023,7.24
07.12.2023,7.24
06.12.2023,7.24
05.12.2023,7.24
04.12.2023,7.23
01.12.2023,7.24
30.11.2023,7.25
29.11.2023,7.24
28.11.2023,7.24
24.11.2023,7.24
23.11.2023,7.24
22.11.2023,7.23
21.11.2023,7.23
20.11.2023,7.23
17.11.2023,7.23
16.11.2023,7.23
15.11.2023,7.23
13.11.2023,7.23
10.11.2023,7.23
09.11.2023,7.22
08.11.2023,7.22
07.11.2023,7.21
06.11.2023,7.21
03.11.2023,7.22
02.11.2023,7.21
01.11.2023,7.22
31.10.2023,7.21
30.10.2023,7.21
27.10.2023,7.21
26.10.2023,7.21
25.10.2023,7.21
23.10.2023,7.21
20.10.2023,7.2
19.10.2023,7.19
18.10.2023,7.19
17.10.2023,7.18
16.10.2023,7.18
13.10.2023,7.17
12.10.2023,7.17
11.10.2023,7.16
10.10.2023,7.16
09.10.2023,7.16
06.10.2023,7.16
05.10.2023,7.17
04.10.2023,7.17
03.10.2023,7.18
29.09.2023,7.19
28.09.2023,7.17
27.09.2023,7.17
26.09.2023,7.16
25.09.2023,7.15
22.09.2023,7.16
21.09.2023,7.16
20.09.2023,7.15
18.09.2023,7.15
15.09.2023,7.15
14.09.2023,7.14
13.09.2023,7.14
12.09.2023,7.14
11.09.2023,7.14
08.09.2023,7.14
07.09.2023,7.14
06.09.2023,7.12
05.09.2023,7.14
04.09.2023,7.15
01.09.2023,7.17
31.08.2023,7.17
30.08.2023,7.19
29.08.2023,7.2
28.08.2023,7.21
25.08.2023,7.21
24.08.2023,7.21
23.08.2023,7.21
22.08.2023,7.21
21.08.2023,7.21
18.08.2023,7.18
17.08.2023,7.2
14.08.2023,7.17
11.08.2023,7.18
10.08.2023,7.16
09.08.2023,7.15
08.08.2023,7.15
07.08.2023,7.15
04.08.2023,7.15
03.08.2023,7.14
02.08.2023,7.14
01.08.2023,7.15
31.07.2023,7.16
28.07.2023,7.16
27.07.2023,7.14
26.07.2023,7.15
25.07.2023,7.15
24.07.2023,7.15
21.07.2023,7.16
20.07.2023,7.16
19.07.2023,7.14
18.07.2023,7.14
17.07.2023,7.14
14.07.2023,7.13
13.07.2023,7.12
12.07.2023,7.13
11.07.2023,7.15
10.07.2023,7.15
07.07.2023,7.15
06.07.2023,7.15
05.07.2023,7.15
04.07.2023,7.15
03.07.2023,7.17
30.06.2023,7.19
28.06.2023,7.19
27.06.2023,7.18
26.06.2023,7.17
23.06.2023,7.16
22.06.2023,7.15
21.06.2023,7.16
20.06.2023,7.17
19.06.2023,7.18
16.06.2023,7.18
15.06.2023,7.17
14.06.2023,7.17
13.06.2023,7.16
12.06.2023,7.17
09.06.2023,7.19
08.06.2023,7.18
07.06.2023,7.16
06.06.2023,7.14
05.06.2023,7.13
02.06.2023,7.15
01.06.2023,7.14
31.05.2023,7.14
30.05.2023,7.15
29.05.2023,7.14
26.05.2023,7.14
25.05.2023,7.15
24.05.2023,7.16
23.05.2023,7.17
22.05.2023,7.18
19.05.2023,7.19
18.05.2023,7.22
17.05.2023,7.23
16.05.2023,7.24
15.05.2023,7.24
12.05.2023,7.24
11.05.2023,7.24
10.05.2023,7.24
09.05.2023,7.24
08.05.2023,7.23
04.05.2023,7.23
03.05.2023,7.22
02.05.2023,7.21
28.04.2023,7.22
27.04.2023,7.21
26.04.2023,7.21
25.04.2023,7.22
24.04.2023,7.21
21.04.2023,7.21
20.04.2023,7.19
19.04.2023,7.2
18.04.2023,7.22
17.04.2023,7.21
13.04.2023,7.21
12.04.2023,7.22
11.04.2023,7.23
10.04.2023,7.26
06.04.2023,7.32
05.04.2023,7.34
03.04.2023,7.38
31.03.2023,7.44
29.03.2023,7.42
28.03.2023,7.36
27.03.2023,7.36
24.03.2023,7.36
23.03.2023,7.37
21.03.2023,7.38
20.03.2023,7.39
17.03.2023,7.38
16.03.2023,7.37
15.03.2023,7.35
14.03.2023,7.35
13.03.2023,7.35
10.03.2023,7.33
09.03.2023,7.32
08.03.2023,7.31
06.03.2023,7.3
03.03.2023,7.29
02.03.2023,7.29
01.03.2023,7.25
28.02.2023,7.24
27.02.2023,7.23
24.02.2023,7.25
23.02.2023,7.21
22.02.2023,7.21
21.02.2023,7.2
20.02.2023,7.2
17.02.2023,7.15
16.02.2023,7.14
15.02.2023,7.13
14.02.2023,7.14
13.02.2023,7.16
10.02.2023,7.19
09.02.2023,7.19
08.02.2023,7.12
07.02.2023,7
06.02.2023,6.99
03.02.2023,6.98
02.02.2023,6.97
01.02.2023,6.97
31.01.2023,6.99
30.01.2023,6.98
27.01.2023,6.96
25.01.2023,6.96
24.01.2023,6.95
23.01.2023,6.93
20.01.2023,6.89
19.01.2023,6.86
18.01.2023,6.85
17.01.2023,6.85
16.01.2023,6.81
13.01.2023,6.83
12.01.2023,6.81
11.01.2023,6.82
10.01.2023,6.82
09.01.2023,6.82
06.01.2023,6.83
05.01.2023,6.83
04.01.2023,6.83
03.01.2023,6.85
02.01.2023,6.86
30.12.2022,6.95
29.12.2022,6.92
28.12.2022,6.91
27.12.2022,6.92
26.12.2022,6.91
23.12.2022,6.9
22.12.2022,6.9
21.12.2022,6.89
20.12.2022,6.88
19.12.2022,6.87
16.12.2022,6.85
15.12.2022,6.82
14.12.2022,6.8
13.12.2022,6.79
12.12.2022,6.79
09.12.2022,6.79
08.12.2022,6.79
07.12.2022,6.79
06.12.2022,6.68
05.12.2022,6.67
02.12.2022,6.66
01.12.2022,6.64
30.11.2022,6.64
29.11.2022,6.63
28.11.2022,6.63
25.11.2022,6.62
24.11.2022,6.61
23.11.2022,6.61
22.11.2022,6.6
21.11.2022,6.57
18.11.2022,6.54
17.11.2022,6.51
16.11.2022,6.5
15.11.2022,6.5
14.11.2022,6.49
11.11.2022,6.49
10.11.2022,6.49
09.11.2022,6.5
07.11.2022,6.46
04.11.2022,6.46
03.11.2022,6.45
02.11.2022,6.48
01.11.2022,6.52
31.10.2022,6.53
28.10.2022,6.53
27.10.2022,6.51
25.10.2022,6.5
21.10.2022,6.49
20.10.2022,6.47
19.10.2022,6.46
18.10.2022,6.46
17.10.2022,6.44
14.10.2022,6.43
13.10.2022,6.42
12.10.2022,6.38
11.10.2022,6.37
10.10.2022,6.33
07.10.2022,6.31
06.10.2022,6.3
04.10.2022,6.3
03.10.2022,6.29
30.09.2022,6.31
29.09.2022,6.09
28.09.2022,6.07
27.09.2022,6.03
26.09.2022,5.99
23.09.2022,5.99
22.09.2022,5.98
21.09.2022,5.96
20.09.2022,5.95
19.09.2022,5.91
16.09.2022,5.89
15.09.2022,5.85
14.09.2022,5.82
13.09.2022,5.8
12.09.2022,5.78
09.09.2022,5.77
08.09.2022,5.76
07.09.2022,5.76
06.09.2022,5.76
05.09.2022,5.76
02.09.2022,5.76
01.09.2022,5.77
30.08.2022,5.73
29.08.2022,5.71
26.08.2022,5.71
25.08.2022,5.69
24.08.2022,5.69
23.08.2022,5.68
22.08.2022,5.67
19.08.2022,5.66
18.08.2022,5.65
17.08.2022,5.65
12.08.2022,5.65
11.08.2022,5.62
10.08.2022,5.62
08.08.2022,5.61
05.08.2022,5.58
04.08.2022,5.36
03.08.2022,5.34
02.08.2022,5.29
01.08.2022,5.29
29.07.2022,5.32
28.07.2022,5.33
27.07.2022,5.33
26.07.2022,5.33
25.07.2022,5.32
22.07.2022,5.3
21.07.2022,5.25
20.07.2022,5.23
19.07.2022,5.23
18.07.2022,5.22
15.07.2022,5.22
14.07.2022,5.21
13.07.2022,5.2
12.07.2022,5.2
11.07.2022,5.2
08.07.2022,5.2
07.07.2022,5.2
06.07.2022,5.2
05.07.2022,5.2
04.07.2022,5.2
01.07.2022,5.18
30.06.2022,5.18
29.06.2022,5.17
28.06.2022,5.17
27.06.2022,5.16
24.06.2022,5.16
23.06.2022,5.15
22.06.2022,5.15
21.06.2022,5.15
20.06.2022,5.15
17.06.2022,5.14
16.06.2022,5.13
15.06.2022,5.13
14.06.2022,5.12
13.06.2022,5.12
10.06.2022,5.11
09.06.2022,5.11
08.06.2022,5.06
07.06.2022,4.78
06.06.2022,4.78
03.06.2022,4.77
02.06.2022,4.76
01.06.2022,4.76
31.05.2022,4.75
30.05.2022,4.75
27.05.2022,4.75
26.05.2022,4.75
25.05.2022,4.74
24.05.2022,4.73
23.05.2022,4.71
20.05.2022,4.71
19.05.2022,4.7
18.05.2022,4.69
17.05.2022,4.68
13.05.2022,4.67
12.05.2022,4.65
11.05.2022,4.65
10.05.2022,4.65
09.05.2022,4.64
06.05.2022,4.63
05.05.2022,4.62
04.05.2022,4.25
02.05.2022,4.25
29.04.2022,4.26
28.04.2022,4.25
27.04.2022,4.25
26.04.2022,4.25
25.04.2022,4.24
22.04.2022,4.25
21.04.2022,4.25
20.04.2022,4.25
19.04.2022,4.25
18.04.2022,4.25
13.04.2022,4.25
12.04.2022,4.24
11.04.2022,4.25
08.04.2022,4.23
07.04.2022,4.21
06.04.2022,4.21
05.04.2022,4.2
04.04.2022,4.19
31.03.2022,4.24
30.03.2022,4.19
29.03.2022,4.2
28.03.2022,4.19
25.03.2022,4.19
24.03.2022,4.2
23.03.2022,4.19
22.03.2022,4.2
21.03.2022,4.2
17.03.2022,4.2
16.03.2022,4.18
15.03.2022,4.17
14.03.2022,4.19
11.03.2022,4.2
10.03.2022,4.22
09.03.2022,4.22
08.03.2022,4.21
07.03.2022,4.22
04.03.2022,4.22
03.03.2022,4.21
02.03.2022,4.21
28.02.2022,4.21
25.02.2022,4.22
24.02.2022,4.22
23.02.2022,4.22
22.02.2022,4.22
21.02.2022,4.22
18.02.2022,4.22
17.02.2022,4.21
16.02.2022,4.21
15.02.2022,4.21
14.02.2022,4.21
11.02.2022,4.21
10.02.2022,4.21
09.02.2022,4.22
08.02.2022,4.22
04.02.2022,4.23
03.02.2022,4.21
02.02.2022,4.22
01.02.2022,4.21
31.01.2022,4.19
28.01.2022,4.19
27.01.2022,4.2
25.01.2022,4.21
24.01.2022,4.2
21.01.2022,4.19
20.01.2022,4.19
19.01.2022,4.15
18.01.2022,4.12
17.01.2022,4.1
14.01.2022,4.1
13.01.2022,4.09
12.01.2022,4.1
11.01.2022,4.11
10.01.2022,4.11
07.01.2022,4.11
06.01.2022,4.1
05.01.2022,4.09
04.01.2022,4.09
03.01.2022,4.09
31.12.2021,4.11
30.12.2021,4.09
29.12.2021,4.08
28.12.2021,4.1
27.12.2021,4.08
24.12.2021,4.09
23.12.2021,4.09
22.12.2021,4.06
21.12.2021,4.08
20.12.2021,4.02
17.12.2021,4.03
16.12.2021,4.01
15.12.2021,3.98
14.12.2021,3.97
13.12.2021,3.97
10.12.2021,3.97
09.12.2021,3.97
08.12.2021,3.96
07.12.2021,3.97
06.12.2021,3.97
03.12.2021,3.97
02.12.2021,3.97
01.12.2021,3.97
30.11.2021,3.96
29.11.2021,3.96
26.11.2021,3.96
25.11.2021,3.95
24.11.2021,3.94
23.11.2021,3.97
22.11.2021,3.94
18.11.2021,3.88
17.11.2021,3.86
16.11.2021,3.86
15.11.2021,3.86
12.11.2021,3.86
11.11.2021,3.86
10.11.2021,3.86
09.11.2021,3.86
08.11.2021,3.87
03.11.2021,3.87
02.11.2021,3.86
01.11.2021,3.86
29.10.2021,3.86
28.10.2021,3.86
27.10.2021,3.86
26.10.2021,3.87
25.10.2021,3.86
22.10.2021,3.86
21.10.2021,3.86
20.10.2021,3.86
18.10.2021,3.86
14.10.2021,3.86
13.10.2021,3.87
12.10.2021,3.86
11.10.2021,3.85
08.10.2021,3.85
07.10.2021,3.85
06.10.2021,3.85
05.10.2021,3.84
04.10.2021,3.85
01.10.2021,3.83
30.09.2021,3.85
29.09.2021,3.83
28.09.2021,3.83
27.09.2021,3.83
24.09.2021,3.82
23.09.2021,3.82
22.09.2021,3.81
21.09.2021,3.81
20.09.2021,3.81
17.09.2021,3.81
16.09.2021,3.81
15.09.2021,3.81
14.09.2021,3.81
13.09.2021,3.81
09.09.2021,3.81
08.09.2021,3.81
07.09.2021,3.81
06.09.2021,3.81
03.09.2021,3.81
02.09.2021,3.81
01.09.2021,3.81
31.08.2021,3.81
30.08.2021,3.81
27.08.2021,3.8
26.08.2021,3.8
25.08.2021,3.8
24.08.2021,3.79
23.08.2021,3.8
20.08.2021,3.8
18.08.2021,3.8
17.08.2021,3.8
13.08.2021,3.8
12.08.2021,3.8
11.08.2021,3.8
10.08.2021,3.8
09.08.2021,3.8
06.08.2021,3.79
05.08.2021,3.79
04.08.2021,3.79
03.08.2021,3.79
02.08.2021,3.79
30.07.2021,3.79
29.07.2021,3.79
28.07.2021,3.79
27.07.2021,3.79
26.07.2021,3.79
23.07.2021,3.8
22.07.2021,3.8
20.07.2021,3.8
19.07.2021,3.8
16.07.2021,3.8
15.07.2021,3.8
14.07.2021,3.8
13.07.2021,3.8
12.07.2021,3.8
09.07.2021,3.8
08.07.2021,3.81
07.07.2021,3.81
06.07.2021,3.81
05.07.2021,3.81
02.07.2021,3.81
01.07.2021,3.81
30.06.2021,3.81
29.06.2021,3.81
28.06.2021,3.81
25.06.2021,3.8
24.06.2021,3.78
23.06.2021,3.78
22.06.2021,3.78
21.06.2021,3.78
18.06.2021,3.78
17.06.2021,3.78
16.06.2021,3.77
15.06.2021,3.77
14.06.2021,3.77
11.06.2021,3.77
10.06.2021,3.77
09.06.2021,3.77
08.06.2021,3.77
07.06.2021,3.77
04.06.2021,3.76
03.06.2021,3.76
02.06.2021,3.76
01.06.2021,3.77
31.05.2021,3.76
28.05.2021,3.76
27.05.2021,3.76
25.05.2021,3.76
24.05.2021,3.76
21.05.2021,3.76
20.05.2021,3.77
19.05.2021,3.76
18.05.2021,3.76
17.05.2021,3.75
14.05.2021,3.75
12.05.2021,3.76
11.05.2021,3.76
10.05.2021,3.76
07.05.2021,3.76
06.05.2021,3.76
05.05.2021,3.76
04.05.2021,3.77
03.05.2021,3.76
30.04.2021,3.77
29.04.2021,3.78
28.04.2021,3.79
27.04.2021,3.79
26.04.2021,3.79
23.04.2021,3.78
22.04.2021,3.8
20.04.2021,3.79
19.04.2021,3.75
16.04.2021,3.75
15.04.2021,3.75
12.04.2021,3.74
09.04.2021,3.74
08.04.2021,3.74
07.04.2021,3.73
06.04.2021,3.74
05.04.2021,3.74
31.03.2021,3.74
30.03.2021,3.74
26.03.2021,3.75
25.03.2021,3.75
24.03.2021,3.75
23.03.2021,3.76
22.03.2021,3.76
19.03.2021,3.76
18.03.2021,3.77
17.03.2021,3.76
16.03.2021,3.76
15.03.2021,3.75
12.03.2021,3.76
10.03.2021,3.76
09.03.2021,3.75
08.03.2021,3.74
05.03.2021,3.74
04.03.2021,3.73
03.03.2021,3.73
02.03.2021,3.74
01.03.2021,3.74
26.02.2021,3.74
25.02.2021,3.75
24.02.2021,3.76
23.02.2021,3.76
22.02.2021,3.76
18.02.2021,3.76
17.02.2021,3.76
16.02.2021,3.76
15.02.2021,3.76
12.02.2021,3.76
11.02.2021,3.75
10.02.2021,3.76
09.02.2021,3.76
08.02.2021,3.76
05.02.2021,3.76
04.02.2021,3.74
03.02.2021,3.75
02.02.2021,3.74
01.02.2021,3.74
29.01.2021,3.73
28.01.2021,3.73
27.01.2021,3.73
25.01.2021,3.73
22.01.2021,3.72
21.01.2021,3.71
20.01.2021,3.7
19.01.2021,3.71
18.01.2021,3.7
15.01.2021,3.69
14.01.2021,3.69
13.01.2021,3.69
12.01.2021,3.69
11.01.2021,3.68
08.01.2021,3.66
07.01.2021,3.66
06.01.2021,3.66
05.01.2021,3.67
04.01.2021,3.67
01.01.2021,3.67
31.12.2020,3.67
30.12.2020,3.65
29.12.2020,3.65
28.12.2020,3.65
24.12.2020,3.66
23.12.2020,3.65
22.12.2020,3.65
21.12.2020,3.65
18.12.2020,3.64
17.12.2020,3.65
16.12.2020,3.64
15.12.2020,3.64
14.12.2020,3.64
11.12.2020,3.66
10.12.2020,3.66
09.12.2020,3.65
08.12.2020,3.63
07.12.2020,3.63
04.12.2020,3.63
03.12.2020,3.65
02.12.2020,3.66
01.12.2020,3.66
27.11.2020,3.66
26.11.2020,3.66
25.11.2020,3.7
24.11.2020,3.73
23.11.2020,3.74
20.11.2020,3.73
19.11.2020,3.75
18.11.2020,3.75
17.11.2020,3.76
13.11.2020,3.76
12.11.2020,3.77
11.11.2020,3.78
10.11.2020,3.79
09.11.2020,3.79
06.11.2020,3.79
05.11.2020,3.79
04.11.2020,3.78
03.11.2020,3.79
02.11.2020,3.77
29.10.2020,3.78
28.10.2020,3.79
27.10.2020,3.79
26.10.2020,3.8
23.10.2020,3.79
22.10.2020,3.78
21.10.2020,3.79
20.10.2020,3.84
19.10.2020,3.84
16.10.2020,3.84
15.10.2020,3.84
14.10.2020,3.85
13.10.2020,3.88
12.10.2020,3.86
09.10.2020,3.85
08.10.2020,3.86
07.10.2020,3.87
06.10.2020,3.89
05.10.2020,3.92
01.10.2020,3.93
30.09.2020,3.96
29.09.2020,3.97
28.09.2020,3.97
25.09.2020,3.97
24.09.2020,3.98
23.09.2020,3.97
22.09.2020,3.99
21.09.2020,3.99
18.09.2020,4.02
17.09.2020,4.05
16.09.2020,4.04
15.09.2020,4.05
14.09.2020,4.1
11.09.2020,4.12
10.09.2020,4.12
09.09.2020,4.15
08.09.2020,4.17
07.09.2020,4.22
04.09.2020,4.23
03.09.2020,4.23
02.09.2020,4.26
01.09.2020,4.27
31.08.2020,4.27
28.08.2020,4.29
27.08.2020,4.29
26.08.2020,4.33
25.08.2020,4.34
24.08.2020,4.34
21.08.2020,4.37
20.08.2020,4.41
19.08.2020,4.42
18.08.2020,4.45
17.08.2020,4.49
14.08.2020,4.52
13.08.2020,4.52
12.08.2020,4.53
11.08.2020,4.54
10.08.2020,4.56
07.08.2020,4.57
06.08.2020,4.57
05.08.2020,4.58
04.08.2020,4.6
03.08.2020,4.6
31.07.2020,4.6
30.07.2020,4.61
29.07.2020,4.62
28.07.2020,4.63
27.07.2020,4.64
24.07.2020,4.63
23.07.2020,4.63
22.07.2020,4.64
21.07.2020,4.65
20.07.2020,4.64
17.07.2020,4.68
16.07.2020,4.67
15.07.2020,4.68
14.07.2020,4.69
13.07.2020,4.68
10.07.2020,4.68
09.07.2020,4.69
08.07.2020,4.7
07.07.2020,4.71
06.07.2020,4.7
03.07.2020,4.7
02.07.2020,4.68
01.07.2020,4.7
30.06.2020,4.69
29.06.2020,4.69
26.06.2020,4.7
25.06.2020,4.68
24.06.2020,4.69
23.06.2020,4.68
22.06.2020,4.73
19.06.2020,4.74
18.06.2020,4.75
17.06.2020,4.75
16.06.2020,4.76
15.06.2020,4.76
12.06.2020,4.77
11.06.2020,4.78
10.06.2020,4.79
09.06.2020,4.8
08.06.2020,4.81
05.06.2020,4.83
04.06.2020,4.86
03.06.2020,4.86
02.06.2020,4.88
01.06.2020,4.89
29.05.2020,4.89
28.05.2020,4.9
27.05.2020,4.92
26.05.2020,4.96
22.05.2020,5.04
21.05.2020,5.17
20.05.2020,5.2
19.05.2020,5.22
18.05.2020,5.2
15.05.2020,5.21
14.05.2020,5.21
13.05.2020,5.19
12.05.2020,5.24
11.05.2020,5.21
08.05.2020,5.21
06.05.2020,5.25
05.05.2020,5.26
04.05.2020,5.29
30.04.2020,5.29
29.04.2020,5.29
28.04.2020,5.28
27.04.2020,5.28
24.04.2020,5.27
23.04.2020,5.27
22.04.2020,5.29
21.04.2020,5.29
20.04.2020,5.29
17.04.2020,5.38
16.04.2020,5.45
15.04.2020,5.58
13.04.2020,5.6
09.04.2020,5.62
08.04.2020,5.63
07.04.2020,5.67
03.04.2020,5.73
31.03.2020,5.93
03.04.2020,4.61
