Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,VIX,SOFR3M,Daily_STIR,Theoretical_Spread
2022-12-12,3990.56,0.012555854617762654,0.19931801289889162,0.25,0.0347499999999999,0.000137896825396825,1.259186018107016
2022-12-13,4019.65,0.012610673522219278,0.20018823602891503,0.2255,0.0347249999999999,0.00013779761904761866,1.2739027944024883
2022-12-14,3995.32,0.012105815298400827,0.1921738601834986,0.2114,0.0346999999999999,0.0001376984126984123,1.2155011960404636
2022-12-15,3895.75,0.011669096847941944,0.1852411697062925,0.2282999999999999,0.0347249999999999,0.00013779761904761866,1.1424523904313446
2022-12-20,3821.62,0.013790656565441707,0.21891988613075342,0.2148,0.0347499999999999,0.000137896825396825,1.3244702063867635
2022-12-21,3878.44,0.014489399862128416,0.23001209209059215,0.2007,0.0450249999999999,0.0001786706349206345,1.412268369709409
2022-12-22,3822.39,0.014374672664161852,0.2281908542839833,0.2196999999999999,0.0450749999999999,0.00017886904761904723,1.3808379677008134
2022-12-23,3844.82,0.014419982372904407,0.22891012361184074,0.2087,0.0451,0.00017896825396825398,1.3933188129099108
2022-12-27,3829.25,0.013710152085367654,0.21764191712853842,0.2165,0.0451749999999999,0.00017926587301587263,1.3193674584375685
2022-12-28,3783.22,0.013047820842233587,0.20712773459925243,0.2214,0.0451,0.00017896825396825398,1.2405360027519237
2022-12-29,3849.28,0.012997945257881437,0.20633598424311356,0.2144,0.045,0.00017857142857142857,1.2573726191933474
2022-12-30,3839.5,0.013353654546504449,0.21198269414350668,0.2167,0.044975,0.00017847222222222223,1.2885005008674852
2023-01-03,3824.14,0.012669153694043978,0.20111657997657395,0.2289999999999999,0.045,0.00017857142857142857,1.217562291146237
2023-01-04,3852.97,0.012084381402198297,0.1918336076296242,0.2201,0.045,0.00017857142857142857,1.1701185669156757
2023-01-05,3808.1,0.011637804950820044,0.1847444262392767,0.2246,0.0450749999999999,0.00017886904761904723,1.1137539406186079
2023-01-06,3895.08,0.011719659081994358,0.18604382028849967,0.2113,0.04495,0.00017837301587301585,1.1472054246554535
2023-01-09,3892.09,0.01306474614113097,0.2073964153897399,0.2196999999999999,0.0448999999999999,0.00017817460317460276,1.277890494295093
2023-01-10,3919.25,0.012365730175399728,0.19629988094300882,0.2057999999999999,0.0448999999999999,0.00017817460317460276,1.2179586457822325
2023-01-11,3969.61,0.011864997753219097,0.1883510001681471,0.2109,0.0448999999999999,0.00017817460317460276,1.1836555189498768
2023-01-12,3983.17,0.01185801296605339,0.18824012010934002,0.1883,0.0447249999999999,0.00017748015873015832,1.1869996437870896
2023-01-13,3999.09,0.011263377443074572,0.17880057382217932,0.1835,0.0446999999999999,0.00017738095238095197,1.1319823703018983
2023-01-17,3990.97,0.010728372588464461,0.17030763504911559,0.1936,0.044675,0.00017728174603174604,1.076024551671253
2023-01-18,3928.86,0.01022516654800148,0.16231948680137226,0.2034,0.0446999999999999,0.00017738095238095197,1.0095941803483583
2023-01-19,3898.85,0.011031950348233439,0.17512678258462855,0.2052,0.0446999999999999,0.00017738095238095197,1.080932767027889
2023-01-20,3972.61,0.01080545887963157,0.17153134198463849,0.1985,0.044675,0.00017728174603174604,1.0787703781270466
2023-01-23,4019.81,0.0117183013659214,0.18602226721401915,0.1981,0.04465,0.0001771825396825397,1.183804588353496
2023-01-24,4016.95,0.011635060761138407,0.1847008635785887,0.192,0.044625,0.00017708333333333332,1.1745592092166817
2023-01-25,4016.22,0.011037134969166166,0.17520908589040934,0.1907999999999999,0.0445999999999999,0.00017698412698412657,1.1139961853232307
2023-01-26,4060.43,0.010476378820440899,0.1663073579963449,0.1873,0.0445999999999999,0.00017698412698412657,1.06903790107026
2023-01-27,4070.56,0.01045439802361504,0.16595842366422336,0.1851,0.0445749999999999,0.00017688492063492022,1.069456373819662
2023-01-30,4017.77,0.009945473012358758,0.15787948956963413,0.1994,0.0445499999999999,0.0001767857142857139,1.0042004765668935
2023-01-31,4076.6,0.010428098371669676,0.16554092963253342,0.1939999999999999,0.044525,0.00017668650793650794,1.0683488878371463
2023-02-01,4119.21,0.01081492748511854,0.17168165143692513,0.1787,0.0445,0.00017658730158730157,1.1195600930268483
2023-02-02,4179.76,0.01070301586948032,0.16990510961413607,0.1873,0.0445,0.00017658730158730157,1.1242616186166288
2023-02-03,4136.48,0.011055730947587609,0.17550428789614372,0.1833,0.0445,0.00017658730158730157,1.1492863385760757
2023-02-06,4111.08,0.01107359522994188,0.17578787458690395,0.1943,0.0445,0.00017658730158730157,1.1440748178167723
2023-02-07,4164.0,0.010734763326734365,0.1704090848740532,0.1866,0.044475,0.00017648809523809525,1.1233447569993587
2023-02-08,4117.86,0.01087148707919654,0.17257950715803602,0.1963,0.0444499999999999,0.0001763888888888885,1.1250462932530354
2023-02-09,4081.5,0.010989603371583325,0.17445454517067857,0.2071,0.0444499999999999,0.0001763888888888885,1.1272277614466475
2023-02-10,4090.46,0.010868351725253158,0.1725297349571979,0.2053,0.0444499999999999,0.0001763888888888885,1.1172379951126459
2023-02-13,4137.29,0.01032419015659722,0.16389143785498342,0.2034,0.0444499999999999,0.0001763888888888885,1.0734500629778267
2023-02-14,4136.13,0.010363902300013024,0.1645218485880287,0.1891,0.0444499999999999,0.0001763888888888885,1.0772769707577936
2023-02-15,4147.6,0.00985374691886795,0.15642338297696132,0.1823,0.0444499999999999,0.0001763888888888885,1.0270892463281598
2023-02-16,4090.41,0.009395668888593096,0.14915161968194382,0.2017,0.0444499999999999,0.0001763888888888885,0.9658384390139645
2023-02-17,4079.09,0.010087744668480971,0.1601379820939102,0.2002,0.0444499999999999,0.0001763888888888885,1.0341112633773264
2023-02-21,3997.34,0.009658932369276264,0.15333079787698134,0.2287,0.0444499999999999,0.0001763888888888885,0.9703091766771195
2023-02-22,3991.05,0.011354612112556273,0.18024887930055386,0.2229,0.044475,0.00017648809523809525,1.1388573099267205
2023-02-23,4012.32,0.010792754253030033,0.1713296622897129,0.2114,0.0444499999999999,0.0001763888888888885,1.0882726537165581
2023-02-24,3970.04,0.010343112682286937,0.16419182363789675,0.2167,0.044475,0.00017648809523809525,1.0319437502141682
2023-02-27,3982.24,0.010470132560238883,0.16620820168963252,0.2095,0.044475,0.00017648809523809525,1.047826773011593
2023-02-28,3970.15,0.009971366967563865,0.1582905433652295,0.207,0.044475,0.00017648809523809525,0.9948818804485882
2023-03-01,3951.39,0.009562498449484055,0.15179995685865333,0.2057999999999999,0.044475,0.00017648809523809525,0.9495792249219903
2023-03-02,3981.35,0.009274163397684177,0.14722277981070092,0.1959,0.0444499999999999,0.0001763888888888885,0.9279296465742846
2023-03-03,4045.64,0.00909266412818052,0.1443415682292215,0.1848999999999999,0.0444499999999999,0.0001763888888888885,0.924460470052054
2023-03-06,4048.42,0.00991508079623525,0.15739702809570455,0.1861,0.044475,0.00017648809523809525,1.00876900203059
2023-03-07,3986.37,0.009432258883915792,0.14973246785052505,0.1959,0.044475,0.00017648809523809525,0.9449378748405479
2023-03-08,3992.01,0.01035390595201677,0.16436316148312702,0.1911,0.044475,0.00017648809523809525,1.0387372889824746
2023-03-09,3918.32,0.009840129837218272,0.15620721850719624,0.2261,0.0444499999999999,0.0001763888888888885,0.9689706959587738
2023-03-10,3861.59,0.011202738428934754,0.1778379593152068,0.248,0.0444499999999999,0.0001763888888888885,1.087176872349346
2023-03-13,3855.76,0.011688637348970092,0.18555136554357698,0.2652,0.0444499999999999,0.0001763888888888885,1.1326186483238416
2023-03-14,3919.29,0.01110075337813523,0.1762189968240358,0.2373,0.044475,0.00017648809523809525,1.0933764259021928
2023-03-15,3891.93,0.011618392731565728,0.18443626681202002,0.2614,0.0477249999999999,0.00018938492063492023,1.136373047655752
2023-03-16,3960.28,0.01128568062619737,0.17915462587810765,0.2299,0.0484499999999999,0.0001922619047619044,1.123216615410115
2023-03-20,3951.57,0.011918765004515625,0.18920452882180785,0.2415,0.0481999999999999,0.0001912698412698409,1.1836158686821818
2023-03-21,4002.87,0.011330373225055656,0.17986409889025282,0.2138,0.0486499999999999,0.00019305555555555517,1.1397919143178115
2023-03-22,3936.97,0.011402399315228993,0.1810074776252946,0.2226,0.0487999999999999,0.00019365079365079324,1.128153562778266
2023-03-23,3948.72,0.012133187842294342,0.19260838584685924,0.2261,0.0484,0.00019206349206349205,1.2040405015023907
2023-03-24,3970.99,0.01150951675745517,0.18270791430454136,0.2173999999999999,0.0481999999999999,0.0001912698412698409,1.148591880922936
2023-03-27,3977.53,0.01101518024507981,0.17486056545019613,0.206,0.04875,0.00019345238095238096,1.1010700706727903
2023-03-28,3971.27,0.010454480765573135,0.165959737152088,0.1997,0.0486,0.00019285714285714284,1.0433782939641105
2023-03-29,4027.81,0.009960339512169679,0.15811548793782823,0.1912,0.048575,0.00019275793650793652,1.0082147875045848
2023-03-30,4050.83,0.010367760685522401,0.16458309855914888,0.1902,0.0486499999999999,0.00019305555555555517,1.0554530076343553
2023-03-31,4109.31,0.009971246469422096,0.15828863051653008,0.187,0.048725,0.0001933531746031746,1.029741704426442
2023-04-03,4124.51,0.010402350398132101,0.16513219322406764,0.1855,0.0489,0.00019404761904761905,1.0782358311419102
2023-04-04,4100.6,0.009924843635283408,0.15755200836097283,0.19,0.04875,0.00019345238095238096,1.0227771801470453
2023-04-05,4090.38,0.009671475429365077,0.15352991278302977,0.1907999999999999,0.0487,0.00019325396825396824,0.9941830517955168
2023-04-06,4105.02,0.009266406879820409,0.14709964890685673,0.184,0.0487,0.00019325396825396824,0.9559532206239965
2023-04-10,4109.11,0.008875466599098825,0.1408936643452542,0.1896999999999999,0.0490999999999999,0.00019484126984126946,0.9165348825620185
