Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,VSTOXX,EURIBOR3M,Daily_STIR,Theoretical_Spread
2023-05-24,4263.74,0.008943301435554945,0.141970508990192,0.2092999999999999,0.0358499999999999,0.00014226190476190437,0.9582933357555703
2023-05-25,4269.64,0.011927590271767045,0.1893446255962135,0.198595,0.0359499999999999,0.00014265873015872974,1.2798343322181154
2023-05-26,4337.5,0.010644538578762044,0.16897681140262374,0.175971,0.03605,0.00014305555555555556,1.1603156442552063
2023-05-29,4320.01,0.0117425154467929,0.18640665383129112,0.1786799999999999,0.0359499999999999,0.00014265873015872974,1.2748400012033017
2023-05-30,4291.58,0.010715246459255165,0.1700992642077274,0.1795759999999999,0.0357999999999999,0.00014206349206349168,1.1556576367911475
2023-05-31,4218.04,0.010243150525759762,0.16260497359776505,0.199817,0.0356999999999999,0.00014166666666666627,1.085810605756933
2023-06-01,4257.61,0.012343576203122006,0.19594819753581438,0.175469,0.0356,0.00014126984126984127,1.3207379450550434
2023-06-02,4323.52,0.011616525678436209,0.1844066282624285,0.160329,0.03575,0.00014186507936507937,1.2621864718519191
2023-06-05,4293.24,0.012273047785289704,0.19482859361213162,0.161174,0.0357999999999999,0.00014206349206349168,1.3241810539825565
2023-06-06,4295.22,0.011457866581308315,0.1818879931769978,0.1539879999999999,0.03575,0.00014186507936507937,1.2367985571668214
2023-06-07,4291.91,0.010274480453721773,0.16310232078565134,0.153277,0.0356999999999999,0.00014166666666666627,1.1082055128138109
2023-06-08,4297.68,0.009382097068574154,0.14893617371829193,0.1509859999999999,0.0356499999999999,0.00014146825396825355,1.0133135740156831
2023-06-09,4289.79,0.008679082894816234,0.1377761696867899,0.149894,0.0356499999999999,0.00014146825396825355,0.9356636677123333
2023-06-12,4316.49,0.008230826342799346,0.13066031752563806,0.1518469999999999,0.03555,0.00014107142857142855,0.8928615070792603
2023-06-13,4347.55,0.008182457540948667,0.1298924866001717,0.147763,0.0356,0.00014126984126984127,0.894001549591394
2023-06-14,4375.98,0.00828715750020357,0.1315545469269741,0.142258,0.0356,0.00014126984126984127,0.9113618406850037
2023-06-15,4365.12,0.008264571168439396,0.13119600002571088,0.137205,0.0358499999999999,0.00014226190476190437,0.9066223777590494
2023-06-16,4394.82,0.007974452988727503,0.1265905166996924,0.130737,0.0359,0.00014246031746031746,0.8807485512361382
2023-06-19,4362.38,0.008084592221770326,0.1283389228210286,0.142158,0.03551,0.00014091269841269842,0.8863220301518595
2023-06-20,4343.14,0.00853308890441264,0.13545858693768273,0.146542,0.0395,0.00015674603174603175,0.9313652828395789
2023-06-21,4322.75,0.008368190174667469,0.1328409007551857,0.143982,0.0398,0.00015793650793650795,0.9090789927543028
2023-06-22,4304.47,0.008287717309753015,0.13156343362807046,0.148578,0.04,0.00015873015873015873,0.8965294995366548
2023-06-23,4271.61,0.008170958760004099,0.12970994911161327,0.153519,0.0394499999999999,0.00015654761904761866,0.8771514489958463
2023-06-26,4280.57,0.008639604108312002,0.13714946337987302,0.1587889999999999,0.0393,0.00015595238095238097,0.9294058081741241
2023-06-27,4305.26,0.008138920247936323,0.12920135349976603,0.152039,0.0394499999999999,0.00015654761904761866,0.8805948711187739
2023-06-28,4344.75,0.008059581656755212,0.12794189240995338,0.1421299999999999,0.03905,0.00015496031746031747,0.88000931135457
2023-06-29,4354.69,0.008547502770255814,0.13568739996439524,0.14252,0.03915,0.00015535714285714285,0.9354195348421399
2023-06-30,4399.09,0.008077187918267243,0.12822138314682377,0.1361389999999999,0.0390999999999999,0.00015515873015872975,0.8929620644221359
2023-07-03,4398.15,0.008766379082532293,0.1391619537053941,0.136529,0.0392,0.00015555555555555556,0.9689474207634703
2023-07-04,4390.99,0.008224296622927299,0.13055666143616393,0.141015,0.0390999999999999,0.00015515873015872975,0.9075512872286708
2023-07-05,4350.71,0.007883896525242774,0.12515297740775186,0.152945,0.039,0.00015476190476190475,0.8620074936623041
2023-07-06,4223.09,0.008783072336794383,0.13942695090149326,0.1922769999999999,0.0392,0.00015555555555555556,0.9321519720042488
2023-07-07,4236.6,0.015948136516495327,0.2531688185853275,0.175374,0.0390999999999999,0.00015515873015872975,1.697997832328383
2023-07-10,4256.51,0.01388708767614307,0.2204506825561467,0.175041,0.0392499999999999,0.00015575396825396787,1.485506618973659
2023-07-11,4286.56,0.012316498879523595,0.1955183583493507,0.165671,0.0393,0.00015595238095238097,1.3268015402595665
2023-07-12,4360.46,0.011298508169696592,0.17935825681829248,0.151849,0.0392,0.00015555555555555556,1.2381213895339442
2023-07-13,4391.76,0.012498889593979547,0.19841372118073775,0.150485,0.039,0.00015476190476190475,1.3794939929111933
2023-07-14,4400.11,0.01145082224726416,0.18177616784080042,0.147973,0.0392,0.00015555555555555556,1.2662224749560664
