Date,PX_LAST,GARCH_Volatility,Sigma_Annualized,NIFVIX,IN003M,Daily_STIR,Theoretical_Spread
2021-08-23,13930.55,0.0067846146909919395,0.10770241928256004,0.13685,0.038,0.0001507936507936508,2.3752183493443226
2021-08-24,14063.25,0.006554757874522769,0.1040535554413774,0.131875,0.0379,0.00015039682539682542,2.316607550869776
2021-08-25,14093.6,0.006858904089826091,0.10888172692874198,0.134975,0.038,0.0001507936507936508,2.429331323621682
2021-08-26,14106.95,0.006602786945174662,0.10481599330125616,0.135375,0.038,0.0001507936507936508,2.340833493066384
2021-08-27,14192.5,0.006358686272323001,0.10094101524988196,0.13405,0.038,0.0001507936507936508,2.2679655227016156
2021-08-30,14397.9,0.006338783833646289,0.10062507383054821,0.133175,0.0381,0.0001511904761904762,2.2935871510962897
2021-08-31,14555.9,0.007433714350524239,0.118006556933875,0.1452,0.0381,0.0001511904761904762,2.719286394089522
2021-09-01,14551.35,0.007777972359473871,0.12347148340501285,0.14185,0.0381,0.0001511904761904762,2.8443279482507933
2021-09-02,14684.35,0.007448525464178255,0.11824167607408564,0.1424,0.0381,0.0001511904761904762,2.748748784577856
2021-09-03,14759.3,0.00757797886941937,0.12029668517391638,0.145425,0.0381,0.0001511904761904762,2.810794883706876
2021-09-06,14805.85,0.007366412534688854,0.11693817372897403,0.15105,0.0381,0.0001511904761904762,2.7409392250879137
2021-09-07,14784.25,0.007090510162975177,0.11255835935885028,0.14895,0.0381,0.0001511904761904762,2.6344310411968763
2021-09-08,14803.6,0.0068499406490138,0.10873943671705737,0.1441,0.0381,0.0001511904761904762,2.548380257439021
2021-09-09,14836.45,0.00658536033236723,0.1045393543991601,0.139425,0.0381,0.0001511904761904762,2.455385330543322
2021-09-13,14852.2,0.00635411426542883,0.10086843689047527,0.14025,0.0381,0.0001511904761904762,2.3716792796453774
2021-09-14,14904.35,0.006131661504623803,0.09733710878917624,0.13575,0.0381,0.0001511904761904762,2.296684813796219
2021-09-15,15020.55,0.005981080715209929,0.09494671286309886,0.1373,0.0381,0.0001511904761904762,2.257749276544473
2021-09-16,15104.9,0.006173060086571186,0.09799429090395727,0.144125,0.0381,0.0001511904761904762,2.34330348279218
2021-09-17,15027.25,0.006140360407173024,0.09747519958612279,0.152325,0.0381,0.0001511904761904762,2.3189082152211995
2021-09-20,14826.75,0.006249114393736858,0.09920161560133138,0.174925,0.0381,0.0001511904761904762,2.328491228621715
2021-09-21,14946.3,0.007569838075485567,0.12016745407657559,0.1652,0.0381,0.0001511904761904762,2.8433497869905295
2021-09-22,14990.55,0.007577379183802994,0.12028716545988186,0.164925,0.0381,0.0001511904761904762,2.8546087453278233
2021-09-23,15205.45,0.007278123064955445,0.11553662184717182,0.166025,0.0382,0.00015158730158730158,2.781177498561192
2021-09-24,15191.95,0.00813375013722766,0.12911928053665125,0.169225,0.0382,0.00015158730158730158,3.105376833534592
2021-09-27,15189.05,0.007787690153446324,0.12362574860187249,0.180525,0.0383,0.000151984126984127,2.9726875488813675
2021-09-28,15095.6,0.007455388859154748,0.1183506290916301,0.18535,0.0383,0.000151984126984127,2.828334026783523
2021-09-29,15086.95,0.007492896794925443,0.11894604911307396,0.188375,0.0383,0.000151984126984127,2.840934473534162
2021-09-30,15052.65,0.007192044952345855,0.11417017417142711,0.184025,0.0385,0.00015277777777777777,2.720667105454595
2021-10-01,15013.95,0.0069762662946269175,0.11074479417206928,0.1721,0.0383,0.000151984126984127,2.632255762432578
2021-10-04,15181.15,0.006795812731778809,0.10788018266911932,0.16735,0.0385,0.00015277777777777777,2.5927232974522667
2021-10-05,15280.1,0.007268414397724373,0.11538250153284005,0.163975,0.0384,0.00015238095238095237,2.7911033340910762
2021-10-06,15134.55,0.007180767182701995,0.11399114512850035,0.173325,0.0385,0.00015277777777777777,2.7311805359195205
2021-10-07,15290.15,0.007658194431090257,0.12157006773866758,0.16155,0.0385,0.00015277777777777777,2.942714551237259
2021-10-08,15365.2,0.007884668873067732,0.1251652380493747,0.156525,0.0385,0.00015277777777777777,3.0446099315577158
2021-10-11,15428.0,0.007634280048430936,0.12119043868302237,0.16085,0.0385,0.00015277777777777777,2.9599728122443594
2021-10-12,15481.9,0.007368501507043377,0.11697133513704856,0.158475,0.0386,0.00015317460317460318,2.866906085754181
2021-10-13,15631.4,0.007103410710173497,0.11276314919683071,0.161,0.0387,0.00015357142857142856,2.7904539802811996
2021-10-14,15769.25,0.007338914268876408,0.11650165229202233,0.157675,0.0386,0.00015317460317460318,2.9083916408449113
2021-10-18,15886.15,0.0074494784678877796,0.11825680453896918,0.17185,0.0386,0.00015317460317460318,2.974093048530449
2021-10-20,15568.65,0.007413661321110444,0.11768822496070082,0.183125,0.0386,0.00015317460317460318,2.9006392873079676
2021-10-21,15487.65,0.009766732040325205,0.15504206460304173,0.18035,0.0386,0.00015317460317460318,3.8014095965022534
